Ziolo 1035.587 1037.515 1039.444 1041.372 1043.301 1045.229 1047.157 1049.086 1051.014 1052.943 1054.871 1056.8 1058.728 1060.657 1062.585 1064.514 1066.442 1068.371 1070.299 1072.228 1074.156 1076.084 1078.013 1079.941 1081.87 1083.798 1085.727 1087.655 1089.584 1091.512 1093.441 1095.369 1097.298 1099.226 1101.155 1103.083 1105.011 1106.94 1108.868 1110.797 1112.725 1114.654 1116.582 1118.511 1120.439 1122.368 1124.296 1126.225 1128.153 1130.082 1132.01 1133.938 1135.867 1137.795 1139.724 1141.652 1143.581 1145.509 1147.438 1149.366 1151.295 1153.223 1155.152 1157.08
L 0.03856879 0.03845639 0.0381869 0.03771807 0.03752031 0.03740255 0.03748342 0.03718883 0.03654779 0.03612444 0.03600682 0.03603124 0.03571698 0.03527436 0.03523337 0.03488699 0.03461661 0.03471391 0.03467618 0.03411538 0.03301074 0.03190255 0.03160089 0.03171034 0.0313665 0.03060964 0.03020943 0.03007123 0.02986463 0.02971115 0.02922243 0.02923355 0.02972526 0.03009148 0.03004426 0.02998964 0.02981344 0.0290318 0.02819103 0.02771515 0.0269518 0.02587862 0.02506143 0.02417045 0.02333342 0.02293965 0.02260561 0.02232737 0.02188331 0.02149791 0.02162595 0.02198467 0.02198909 0.02193578 0.02200641 0.02252412 0.02302861 0.0230171 0.02266412 0.02281796 0.02339039 0.02373817 0.02402381 0.0243261
L 0.0360111 0.03588392 0.0356433 0.03522045 0.03527752 0.0352399 0.03512356 0.03501248 0.03427577 0.03376006 0.03339893 0.0332706 0.03301921 0.03253775 0.03223266 0.03185903 0.0317003 0.03180122 0.03171443 0.03129311 0.0305624 0.02977322 0.02924062 0.02876679 0.02836622 0.02796673 0.02744806 0.02720415 0.02675419 0.02652712 0.02622549 0.02647051 0.02706928 0.02738181 0.02746191 0.02722624 0.02683946 0.02634051 0.02569255 0.02505497 0.0241439 0.02304287 0.02237593 0.02174923 0.02094225 0.02027174 0.01983268 0.01938048 0.01909309 0.01912772 0.01903727 0.01902405 0.01936289 0.01945458 0.01950911 0.01997193 0.02020434 0.02009047 0.01999126 0.02057912 0.02104668 0.0210315 0.02130186 0.02171251
L 0.03749121 0.03718818 0.03663298 0.03605922 0.03594577 0.03654181 0.03649924 0.03590928 0.03521759 0.03478209 0.03444714 0.03426664 0.03377085 0.03338415 0.03337333 0.03318553 0.03299028 0.03295704 0.03288905 0.03241912 0.0316787 0.03083779 0.03022983 0.02994014 0.02946978 0.0288619 0.02848396 0.0282716 0.02818787 0.02803297 0.02744358 0.0274496 0.02811559 0.0284627 0.02844374 0.02808738 0.02776425 0.02722691 0.02667661 0.02625343 0.02540123 0.02430882 0.02330084 0.02228979 0.02170382 0.02117979 0.02075229 0.02040515 0.0199411 0.01974923 0.01977053 0.01982233 0.01998161 0.02025097 0.02059683 0.020948 0.02121576 0.02131555 0.02129041 0.02131202 0.02164535 0.02192045 0.02205618 0.02251767
L 0.07927149 0.07836776 0.07831923 0.07755722 0.07695889 0.0764129 0.07569424 0.07465853 0.07325225 0.07198208 0.07087732 0.06965465 0.06864388 0.06741685 0.06604918 0.06524868 0.06467529 0.06430593 0.06366758 0.06255224 0.06137156 0.05995094 0.05858784 0.05757324 0.05669725 0.05522027 0.05406251 0.05399071 0.05403388 0.05357672 0.05351672 0.0534747 0.05341432 0.05359995 0.05343761 0.05248483 0.05138109 0.04976349 0.0475988 0.04546537 0.04313334 0.04089019 0.03872024 0.03605139 0.03396554 0.03266659 0.03134852 0.03030033 0.0296734 0.02952923 0.02954329 0.02964563 0.02960776 0.02974282 0.03024145 0.03081798 0.03133027 0.03146119 0.03165101 0.03153772 0.03168407 0.03166974 0.03134442 0.03152146
L 0.08324963 0.08206087 0.08167191 0.08126725 0.08070835 0.08001633 0.07929443 0.07807417 0.07656337 0.07511356 0.07366785 0.07238023 0.07143174 0.07030357 0.06905286 0.06841359 0.06791812 0.06709021 0.06612453 0.06559348 0.0648379 0.06326707 0.06135162 0.05985927 0.05877924 0.05774952 0.05665554 0.05610273 0.0557625 0.05598162 0.0562614 0.05612892 0.05587145 0.05599849 0.05562365 0.0542766 0.05322659 0.05185644 0.04960751 0.04739011 0.04526314 0.04272633 0.04020296 0.03756494 0.03548029 0.03359436 0.03222676 0.03140229 0.03076067 0.03058838 0.03077127 0.03075794 0.03058347 0.0309828 0.0317484 0.03206955 0.03229522 0.03250055 0.03297571 0.03307081 0.03329963 0.03299225 0.03259349 0.03270043
L 0.08459973 0.08329155 0.08264685 0.08214101 0.08208179 0.08156721 0.08070818 0.07929023 0.07786866 0.07690836 0.07545008 0.07405196 0.07320891 0.07212894 0.07077305 0.06959265 0.0686727 0.06770399 0.06713383 0.06689745 0.06576478 0.06378804 0.06210635 0.06093207 0.06017442 0.05922097 0.05794886 0.05700527 0.05674525 0.05680114 0.05701328 0.057071 0.05715572 0.05702757 0.05661511 0.05538316 0.05430915 0.05294648 0.05044379 0.04816508 0.04595264 0.04360533 0.04107533 0.03847792 0.03648961 0.03466833 0.03305885 0.03236555 0.03211346 0.03157005 0.03138065 0.03142016 0.03117513 0.03184536 0.03271567 0.03311431 0.03321064 0.03336504 0.03382365 0.03385292 0.03377685 0.03349258 0.03321607 0.03353658
L 0.1115187 0.11078 0.1099329 0.109354 0.1093982 0.1092446 0.1085323 0.1077266 0.1060928 0.1038611 0.102669 0.1016766 0.1003148 0.09930787 0.09825885 0.09746585 0.09643484 0.09497776 0.09391039 0.09333634 0.09222195 0.09072386 0.08902632 0.08664865 0.08524027 0.08444753 0.08340428 0.0826486 0.08268372 0.08252979 0.082201 0.08236513 0.08244846 0.08226971 0.08201685 0.08124987 0.07975797 0.07808762 0.07576563 0.07290781 0.07011581 0.06739563 0.06477874 0.06171315 0.0589769 0.05691031 0.05498985 0.05320781 0.05166393 0.05085882 0.05059082 0.05083705 0.05143928 0.05212731 0.05282442 0.05332709 0.05387589 0.05407322 0.0544112 0.0547776 0.0547365 0.05445542 0.05444739 0.05435901
L 0.1132349 0.1123668 0.1118846 0.1117073 0.1116069 0.1113308 0.1104017 0.1092232 0.1079409 0.1063026 0.1049037 0.1038689 0.1023785 0.1016394 0.1009949 0.09955053 0.09828761 0.09744483 0.09624323 0.09485644 0.09405021 0.09301624 0.09103943 0.08867484 0.08690675 0.08563761 0.08466564 0.08414336 0.0841521 0.08406521 0.08379962 0.08418691 0.08455028 0.08428842 0.08370964 0.08255897 0.08108094 0.07919016 0.07668877 0.07416321 0.07152168 0.06861383 0.06595318 0.06303902 0.06028309 0.05787299 0.05580136 0.05434334 0.05321094 0.05234259 0.05188909 0.05198873 0.05238801 0.05297306 0.05357013 0.0541518 0.05481119 0.05514338 0.05562657 0.055927 0.05585424 0.05559609 0.05553633 0.05542922
L 0.1147476 0.1138643 0.113228 0.1128781 0.1130258 0.1127607 0.1117829 0.1106415 0.1094029 0.1077481 0.1062881 0.1053452 0.1042515 0.1028864 0.1016043 0.1006692 0.09970033 0.0984465 0.09743789 0.09637302 0.09513897 0.09411435 0.09234847 0.09012893 0.0883981 0.08713338 0.08580698 0.08510537 0.08565125 0.08563751 0.08521947 0.08543548 0.08546275 0.08533557 0.08498451 0.08423394 0.08318411 0.08095229 0.07791737 0.07518944 0.07264858 0.06985527 0.06697397 0.06397882 0.06127235 0.05888405 0.05676539 0.05524899 0.05419677 0.05324477 0.05280176 0.05284046 0.05340599 0.05396613 0.05453458 0.05554512 0.05654082 0.05679686 0.05664134 0.05656852 0.05675389 0.05663408 0.05636536 0.05613044
